ISBN 10,ISBN 13,Title,Authors,Binding,Publisher,Publication Date,Bookshelf,Bookshelf Date,Date Added,Tags,Favorite,Rating,Review
0761933212,9780761933212,Bollyworld : Popular Indian Cinema Through A Transnational Lens,"",Paperback,SAGE Publications,2005-07-01,Read,2008-05-10,2008-05-10 18:47:14 -0700,"nonfiction, bollywood, sociology, anthropology",false,4.0,"A heavy read which consists of a lot of good sociological papers on Bollywood and its impact on communities and people outside India.

One of the more interesting papers in the book is by Brian Larkin, about Bandiri singers in Nigeria who take Indian film tunes and change the words to sing songs praising the prophet Mohammed."
0375727450,9780375727450,India in Mind,"",Paperback,Vintage,2005-01-04,Read,2008-05-10,2008-05-10 18:47:13 -0700,"nonfiction, indian",false,,
0385334303,9780385334303,The Naked Ape: A Zoologist's Study of the Human Animal,Desmond Morris,Paperback,Delta,1999-04-13,Read,2008-05-10,2008-05-10 18:47:13 -0700,"",false,,
0066214130,9780066214139,State of Fear,Michael Crichton,Hardcover,HarperCollins,2004-12-07,Read,2008-05-10,2008-05-10 18:47:13 -0700,"",false,,
0451524934,9780451524935,1984 (Signet Classics),George Orwell,Mass Market Paperback,Signet Classics,1977-07-01,Read,2008-05-10,2008-05-10 18:47:13 -0700,"",false,,
0385503865,9780385503860,"The Wisdom of Crowds: Why the Many Are Smarter Than the Few and How Collective Wisdom Shapes Business, Economies, Societies and Nations",James Surowiecki,Hardcover,Doubleday,2004-05-25,Read,2008-05-10,2008-05-10 18:47:13 -0700,"nonfiction, social",true,4.0,
0679763996,9780679763994,"The Moral Animal: Why We Are, the Way We Are: The New Science of Evolutionary Psychology",Robert Wright,Paperback,Vintage,1995-08-29,Read,2008-05-10,2008-05-10 18:47:13 -0700,evolution,true,5.0,
0316172324,9780316172325,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,Hardcover,"Little, Brown and Company",2005-01-11,Read,2008-05-10,2008-05-10 18:47:13 -0700,"",true,4.0,
0316346624,9780316346627,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,Paperback,Back Bay Books,2002-01-07,Read,2008-05-10,2008-05-10 18:47:13 -0700,"",true,4.0,
0385491743,9780385491747,The 80/20 Principle: The Secret to Success by Achieving More with Less,Richard Koch,Paperback,Currency,1999-10-19,Read,2008-05-10,2008-05-10 18:47:05 -0700,"",false,,
0671646788,9780671646783,The Magic of Thinking Big,David Schwartz,Paperback,Fireside,1987-04-02,Read,2008-05-10,2008-05-10 18:47:05 -0700,"",false,,
0142000280,9780142000281,Getting Things Done: The Art of Stress-Free Productivity,David Allen,Paperback,Penguin (Non-Classics),2002-12-31,Read,2008-05-10,2008-05-10 18:47:05 -0700,productivity,true,5.0,
0743269519,9780743269513,The 7 Habits of Highly Effective People,Stephen R. Covey,Paperback,Free Press,2004-11-09,Read,2008-05-10,2008-05-10 18:47:05 -0700,"",false,1.0,
0553755587,9780553755589,Getting Past No: Negotiating with Difficult People,"",Audio CD,Random House Audio,2002-01-02,Read,2008-05-10,2008-05-10 18:47:05 -0700,"",false,4.0,
0553346105,9780553346107,Uncommon Wisdom,Fritjof Capra,Paperback,Bantam,1989-01-01,Read,2008-05-10,2008-05-10 18:46:56 -0700,"",false,,
0060753943,9780060753948,Winning,"Jack Welch, Suzy Welch",Hardcover,Collins,,Read,2008-05-10,2008-05-10 18:46:56 -0700,"",false,,
